living_area_sqft,bedrooms,bathrooms,property_age,lot_size,parking_spaces,property_condition,neighborhood_quality,distance_to_transit,distance_to_school,crime_index,accessibility_score,local_income,unemployment_rate,inflation_rate,property_price
2377.6,3,2.0,6.0,9432.1,1,Good,8.69,14.0,2.03,34.49,5.21,93.69,4.58,4.92,66.52
1903.8,3,2.0,6.1,4910.4,2,Good,8.7,9.18,2.9,16.3,7.99,128.52,6.26,2.35,56.35
2506.6,3,2.5,4.8,12664.3,3,Average,5.81,0.85,3.84,49.05,10.0,75.24,6.09,2.24,64.45
3405.2,5,4.0,7.6,14102.3,4,Average,7.05,3.18,3.86,42.02,10.0,104.9,6.57,4.33,84.33
1841.0,3,2.5,37.0,10745.5,1,Average,9.18,1.32,2.01,8.0,10.0,125.48,4.06,3.48,65.16
1841.0,2,1.5,12.7,5043.2,1,Good,9.25,0.89,3.71,13.43,10.0,116.32,6.09,3.75,67.8
3472.8,6,4.5,4.9,11813.6,3,Fair,4.92,3.89,5.65,55.82,8.69,94.09,6.08,3.38,78.65
2613.9,5,3.5,8.7,10931.4,2,Average,7.57,5.14,3.79,27.11,10.0,108.07,4.09,3.55,71.06
1695.4,2,1.5,2.0,7170.9,2,Excellent,7.26,1.87,4.88,13.72,10.0,109.27,5.24,3.92,63.89
2416.1,4,3.5,42.2,13099.3,2,Good,8.17,0.39,2.01,18.03,10.0,127.14,6.27,3.59,73.01
1699.0,4,3.0,9.4,6555.6,2,Excellent,8.74,1.84,1.47,24.63,10.0,129.53,6.68,2.97,54.64
1697.6,3,2.5,65.0,7800.8,1,Fair,4.63,2.63,1.19,59.9,9.34,80.23,5.04,5.15,36.61
2174.8,3,2.0,7.7,6482.1,2,Average,5.26,7.36,4.64,46.95,6.85,73.91,3.99,3.47,51.18
1022.9,1,1.0,32.6,3641.4,2,Good,8.13,3.62,1.72,29.09,10.0,102.97,6.89,3.25,38.73
1092.6,2,1.5,5.3,7144.5,1,Good,6.77,4.17,0.51,30.49,10.0,105.02,5.24,3.14,47.11
1641.2,2,1.5,1.4,7165.9,1,Good,2.49,0.92,1.44,74.96,8.83,40.18,3.12,3.66,33.57
1401.8,1,1.0,0.6,7591.9,1,Average,3.5,4.28,2.91,68.53,10.0,76.38,4.94,3.22,42.89
2230.5,5,3.5,16.8,10944.6,3,Good,7.69,2.43,7.09,33.05,10.0,111.65,6.45,1.88,65.87
1454.2,2,1.5,6.7,5033.6,1,Excellent,8.01,5.69,3.31,22.25,9.57,126.2,3.86,3.21,61.63
1218.9,2,2.0,10.6,4829.1,2,Fair,4.07,0.98,1.48,59.27,10.0,58.01,5.33,2.59,37.15
3337.5,5,4.5,30.7,17293.7,2,Good,8.48,2.51,1.64,30.27,10.0,106.53,4.84,3.6,88.26
1846.4,2,2.0,5.1,9160.8,1,Average,6.15,0.95,2.39,35.82,10.0,119.17,5.16,3.38,51.09
2046.0,3,3.0,6.6,7899.0,2,Average,4.66,1.28,6.08,56.34,10.0,76.49,4.72,2.9,47.72
1213.6,1,1.0,33.6,3889.5,1,Good,5.49,5.91,4.52,44.8,8.93,100.94,5.75,4.11,37.0
1651.5,4,3.0,12.2,4207.9,3,Average,4.3,3.93,4.39,66.14,10.0,54.67,4.96,3.35,45.91
2077.3,2,2.5,31.6,6875.7,1,Average,5.39,4.37,0.9,50.21,9.12,83.04,5.92,3.12,42.05
1335.6,1,1.0,8.4,4584.0,1,Fair,3.14,0.43,0.67,55.05,10.0,79.3,4.8,3.13,41.25
2279.0,3,2.5,9.1,8927.5,1,Good,6.37,4.38,2.36,50.6,9.58,76.32,6.43,3.11,59.9
1619.3,4,2.0,3.3,7696.0,2,Excellent,7.56,2.36,4.73,27.58,10.0,143.76,5.21,3.78,60.14
1804.3,3,2.0,44.7,4500.5,1,Average,4.07,2.17,5.29,52.66,10.0,74.69,3.87,2.82,38.35
1618.7,2,2.0,40.9,5381.7,1,Average,6.53,1.9,0.68,26.04,10.0,88.64,4.26,3.45,52.13
3821.1,6,5.0,65.0,20057.5,2,Average,5.05,6.31,0.53,47.97,7.36,88.02,3.93,3.02,79.09
1988.8,4,3.0,9.3,9565.7,2,Good,7.7,0.83,1.43,39.42,10.0,129.12,3.99,2.92,68.78
1379.9,3,2.0,30.7,8025.9,3,Good,2.33,5.58,3.66,46.86,7.56,40.28,3.76,3.75,38.13
2664.8,5,3.0,9.6,10841.1,2,Good,7.78,8.63,3.34,8.0,8.24,104.94,4.01,2.7,71.03
1303.4,4,2.5,10.9,6892.7,1,,3.23,0.79,1.24,66.25,10.0,65.61,5.19,3.79,35.93
2149.7,5,3.5,31.9,6367.3,3,Good,6.12,14.0,1.43,39.71,5.33,101.89,6.01,3.63,62.14
1006.4,1,1.0,3.5,4705.8,1,Fair,5.22,14.0,0.5,51.11,5.02,82.3,3.71,4.4,25.92
1255.3,3,2.0,4.5,4630.3,1,Good,5.85,3.31,1.76,35.76,8.53,97.92,4.31,2.08,43.71
2140.7,4,3.5,6.8,6428.3,2,Average,3.75,1.2,1.82,38.03,10.0,80.04,6.08,4.16,64.11
2587.5,4,3.0,27.9,13716.0,3,Average,9.49,2.0,1.11,8.0,10.0,136.54,5.03,3.17,76.29
2121.7,2,2.0,8.4,8760.7,2,Good,4.18,0.8,2.76,66.93,10.0,63.44,3.32,2.06,56.82
1918.9,3,2.0,8.0,11172.9,2,Fair,4.33,0.61,3.53,48.63,10.0,74.46,5.24,2.91,57.74
1798.3,2,2.0,65.0,6314.3,1,Good,9.73,4.1,7.28,8.0,9.55,161.49,5.6,3.78,63.07
1191.0,3,1.5,8.7,3980.5,4,Good,7.08,2.97,2.75,9.73,10.0,111.09,5.55,3.34,49.35
1553.2,3,2.0,5.1,6438.2,3,Excellent,4.24,2.85,3.19,36.32,8.87,91.15,7.67,4.41,57.11
1700.7,1,1.5,17.6,8512.0,1,Average,6.27,1.11,1.58,47.23,10.0,89.88,4.37,3.15,41.76
2892.8,5,3.5,29.1,12527.6,2,Fair,6.08,1.06,1.52,36.43,10.0,98.55,6.41,3.37,60.68
2253.6,4,3.0,1.3,12397.3,3,Good,3.46,14.0,1.84,65.35,5.87,75.94,5.17,3.26,55.82
