Feature,OLS,LASSO,RIDGE,Is_Zero_In_Lasso
living_area_sqft,8.9017,8.9425,8.8142,False
property_age,-3.1049,-3.0389,-3.0959,False
neighborhood_quality,2.547,2.5037,2.5133,False
property_condition_score,1.9897,1.9874,1.9897,False
lot_size,1.6564,1.505,1.6775,False
bathrooms,1.3256,1.3269,1.3303,False
property_age_squared,1.3094,1.2428,1.3003,False
bedrooms,1.2967,1.2935,1.2958,False
distance_to_transit,-1.0717,-1.0677,-1.0703,False
local_income,0.9819,0.9765,0.9765,False
distance_to_school,-0.9749,-0.9685,-0.9721,False
unemployment_rate,-0.8825,-0.8772,-0.8823,False
crime_index,-0.8614,-0.8593,-0.8623,False
parking_spaces,0.8617,0.8597,0.8617,False
log_living_area_sqft,0.7369,0.634,0.7832,False
log_lot_size,-0.552,-0.3914,-0.571,False
accessibility_score,0.5402,0.5394,0.5412,False
income_x_neighborhood,0.3182,0.3272,0.3307,False
inflation_rate,0.2341,0.2294,0.234,False
living_x_school_proximity,0.0937,0.0974,0.0975,False
living_x_neighborhood,-0.0668,0.0,-0.0241,True
